id,strLocation,latitude,longitude,lsm,city,state,zip
ZPN-057,C. Escultores - Av. Guadalupe,20.66371502609941,-103.41781887587824,0,Zapopan,JA,45030
ZPN-058,Av. Labna-Av. Tepeyac,20.656585666708324,-103.41941045935336,0,Zapopan,JA,45050
ZPN-059,C. Prados los Pinos- Av. Tepeyac,20.65882032504796,-103.41455759198227,0,Zapopan,JA,45050
ZPN-060,C. De Los Leones - Av. Tepeyac,20.65880162273158,-103.41456315529746,0,Zapopan,JA,45047
ZPN-061,C. Organizacion - Av. Guadalupe,20.663854165039364,-103.41514439882289,0,Zapopan,JA,45040
ZPN-062,C. Loyola - C. Organizacion,20.66044897954601,-103.41364004118203,0,Zapopan,JA,45047
ZPN-063,C. San Felipe Neri - Av. Guadalupe,20.664472895103664,-103.4130338675458,0,Zapopan,JA,45040
ZPN-064,C. Sto de Aquino - Av. Sta Teresa,20.66700706368133,-103.41332747922844,0,Zapopan,JA,45040
ZPN-065,C. Del Carmen - Av. Guadalupe,20.664905057814195,-103.41096165995468,0,Zapopan,JA,45040
ZPN-066,C. Cuauhtemoc - Av. Tepeyac,20.660954426349722,-103.40868447041828,0,Zapopan,JA,45040
